year,lgacode,age_range,indigenous_status,gender,number_of_people
2016,50490,0_4,indigenous,f,60
2016,50560,0_4,indigenous,f,3
2016,50630,0_4,indigenous,f,3
2016,50770,0_4,indigenous,f,0
2016,50840,0_4,indigenous,f,0
2016,50910,0_4,indigenous,f,7
2016,50980,0_4,indigenous,f,251
2016,51120,0_4,indigenous,f,0
2016,51080,0_4,indigenous,f,10
2016,51190,0_4,indigenous,f,63
2016,51260,0_4,indigenous,f,43
2016,51310,0_4,indigenous,f,8
2016,51330,0_4,indigenous,f,51
2016,51400,0_4,indigenous,f,23
2016,51470,0_4,indigenous,f,0
2016,51540,0_4,indigenous,f,37
2016,51610,0_4,indigenous,f,0
2016,52100,0_4,indigenous,f,3
2016,52940,0_4,indigenous,f,4
2016,51680,0_4,indigenous,f,3
2016,51750,0_4,indigenous,f,0
2016,51820,0_4,indigenous,f,75
2016,51890,0_4,indigenous,f,24
2016,52170,0_4,indigenous,f,0
2016,52240,0_4,indigenous,f,0
2016,52310,0_4,indigenous,f,3
2016,52800,0_4,indigenous,f,256
2016,52870,0_4,indigenous,f,8
2016,52380,0_4,indigenous,f,3
2016,52450,0_4,indigenous,f,3
2016,52520,0_4,indigenous,f,4
2016,52590,0_4,indigenous,f,3
2016,52660,0_4,indigenous,f,13
2016,52730,0_4,indigenous,f,5
2016,53010,0_4,indigenous,f,0
2016,53080,0_4,indigenous,f,3
2016,53150,0_4,indigenous,f,4
2016,53220,0_4,indigenous,f,104
2016,53290,0_4,indigenous,f,27
2016,53360,0_4,indigenous,f,3
2016,53430,0_4,indigenous,f,33
2016,53570,0_4,indigenous,f,3
2016,53640,0_4,indigenous,f,10
2016,54280,0_4,indigenous,f,140
2016,54310,0_4,indigenous,f,155
2016,53800,0_4,indigenous,f,199
2016,53920,0_4,indigenous,f,132
2016,53990,0_4,indigenous,f,40
2016,54060,0_4,indigenous,f,3
2016,53710,0_4,indigenous,f,0
2016,53780,0_4,indigenous,f,163
2016,54130,0_4,indigenous,f,0
2016,54170,0_4,indigenous,f,71
2016,54200,0_4,indigenous,f,52
2016,54760,0_4,indigenous,f,0
2016,54830,0_4,indigenous,f,69
2016,54900,0_4,indigenous,f,3
2016,56620,0_4,indigenous,f,57
2016,56730,0_4,indigenous,f,29
2016,56790,0_4,indigenous,f,6
2016,54340,0_4,indigenous,f,12
2016,54410,0_4,indigenous,f,3
2016,55320,0_4,indigenous,f,32
2016,54480,0_4,indigenous,f,0
2016,54550,0_4,indigenous,f,3
2016,57980,0_4,indigenous,f,3
2016,54620,0_4,indigenous,f,3
2016,54690,0_4,indigenous,f,3
2016,54970,0_4,indigenous,f,22
2016,58050,0_4,indigenous,f,218
2016,58190,0_4,indigenous,f,0
2016,55040,0_4,indigenous,f,12
2016,55110,0_4,indigenous,f,100
2016,55180,0_4,indigenous,f,13
2016,55250,0_4,indigenous,f,10
2016,55950,0_4,indigenous,f,3
2016,55530,0_4,indigenous,f,0
2016,55390,0_4,indigenous,f,10
2016,55460,0_4,indigenous,f,15
2016,56090,0_4,indigenous,f,35
2016,58260,0_4,indigenous,f,8
2016,55600,0_4,indigenous,f,11
2016,57080,0_4,indigenous,f,3
2016,57140,0_4,indigenous,f,4
2016,55670,0_4,indigenous,f,3
2016,55810,0_4,indigenous,f,3
2016,56860,0_4,indigenous,f,0
2016,55880,0_4,indigenous,f,0
2016,57210,0_4,indigenous,f,5
2016,57280,0_4,indigenous,f,133
2016,57350,0_4,indigenous,f,4
2016,55740,0_4,indigenous,f,3
2016,56300,0_4,indigenous,f,0
2016,57420,0_4,indigenous,f,3
2016,57490,0_4,indigenous,f,185
2016,56160,0_4,indigenous,f,4
2016,56230,0_4,indigenous,f,23
2016,56370,0_4,indigenous,f,0
2016,56580,0_4,indigenous,f,0
2016,65010,0_4,indigenous,f,22
2016,56460,0_4,indigenous,f,18
2016,56930,0_4,indigenous,f,0
2016,65210,0_4,indigenous,f,4
2016,65410,0_4,indigenous,f,53
2016,65610,0_4,indigenous,f,14
2016,65810,0_4,indigenous,f,26
2016,57630,0_4,indigenous,f,0
2016,57700,0_4,indigenous,f,31
2016,57770,0_4,indigenous,f,4
2016,57840,0_4,indigenous,f,23
2016,57910,0_4,indigenous,f,101
2016,57000,0_4,indigenous,f,0
2016,58330,0_4,indigenous,f,3
2016,70200,0_4,indigenous,f,201
2016,58400,0_4,indigenous,f,0
2016,58680,0_4,indigenous,f,0
2016,58760,0_4,indigenous,f,176
2016,58820,0_4,indigenous,f,0
2016,58470,0_4,indigenous,f,6
2016,58510,0_4,indigenous,f,23
2016,58540,0_4,indigenous,f,0
2016,58890,0_4,indigenous,f,0
2016,99399,0_4,indigenous,f,5
2016,58570,0_4,indigenous,f,10
2016,58610,0_4,indigenous,f,0
2016,59030,0_4,indigenous,f,0
2016,74560,0_4,indigenous,f,0
2016,72800,0_4,indigenous,f,246
2016,73600,0_4,indigenous,f,295
2016,74050,0_4,indigenous,f,80
2016,74550,0_4,indigenous,f,112
2016,74660,0_4,indigenous,f,250
2016,59100,0_4,indigenous,f,0
2016,74680,0_4,indigenous,f,159
2016,79399,0_4,indigenous,f,15
2016,59170,0_4,indigenous,f,0
2016,59250,0_4,indigenous,f,10
2016,89399,0_4,indigenous,f,345
2016,59320,0_4,indigenous,f,0
2016,59330,0_4,indigenous,f,0
2016,59340,0_4,indigenous,f,143
2016,59350,0_4,indigenous,f,3
2016,60210,0_4,indigenous,f,14
2016,60410,0_4,indigenous,f,104
2016,60610,0_4,indigenous,f,78
2016,59310,0_4,indigenous,f,3
2016,59360,0_4,indigenous,f,0
2016,59370,0_4,indigenous,f,3
2016,60810,0_4,indigenous,f,60
2016,61010,0_4,indigenous,f,8
2016,61210,0_4,indigenous,f,63
2016,61410,0_4,indigenous,f,81
2016,61510,0_4,indigenous,f,24
2016,61610,0_4,indigenous,f,94
2016,61810,0_4,indigenous,f,8
2016,62010,0_4,indigenous,f,3
2016,62210,0_4,indigenous,f,22
2016,62410,0_4,indigenous,f,11
2016,62610,0_4,indigenous,f,108
2016,62810,0_4,indigenous,f,21
2016,63010,0_4,indigenous,f,75
2016,63210,0_4,indigenous,f,19
2016,63410,0_4,indigenous,f,3
2016,63610,0_4,indigenous,f,62
2016,63810,0_4,indigenous,f,19
2016,64010,0_4,indigenous,f,145
2016,64210,0_4,indigenous,f,26
2016,64610,0_4,indigenous,f,17
2016,64810,0_4,indigenous,f,24
2016,70420,0_4,indigenous,f,229
2016,70540,0_4,indigenous,f,10
2016,70620,0_4,indigenous,f,139
2016,70700,0_4,indigenous,f,16
2016,71000,0_4,indigenous,f,253
2016,71300,0_4,indigenous,f,362
2016,72200,0_4,indigenous,f,87
2016,72300,0_4,indigenous,f,66
2016,72330,0_4,indigenous,f,157
2016,10050,0_4,indigenous,m,111
2016,10130,0_4,indigenous,m,145
2016,10250,0_4,indigenous,m,67
2016,10300,0_4,indigenous,m,6
2016,10470,0_4,indigenous,m,162
2016,10550,0_4,indigenous,m,70
2016,10600,0_4,indigenous,m,22
2016,10650,0_4,indigenous,m,13
2016,10750,0_4,indigenous,m,640
2016,10800,0_4,indigenous,m,11
2016,10850,0_4,indigenous,m,20
2016,10900,0_4,indigenous,m,83
2016,10950,0_4,indigenous,m,30
2016,11100,0_4,indigenous,m,33
2016,11150,0_4,indigenous,m,35
2016,11200,0_4,indigenous,m,48
2016,11250,0_4,indigenous,m,103
2016,13910,0_4,indigenous,m,59
2016,14000,0_4,indigenous,m,23
2016,14100,0_4,indigenous,m,0
2016,14170,0_4,indigenous,m,80
2016,14200,0_4,indigenous,m,85
2016,14300,0_4,indigenous,m,16
2016,14350,0_4,indigenous,m,206
2016,14400,0_4,indigenous,m,15
2016,14500,0_4,indigenous,m,9
2016,14550,0_4,indigenous,m,25
2016,14600,0_4,indigenous,m,63
2016,14650,0_4,indigenous,m,502
2016,14700,0_4,indigenous,m,5
2016,14750,0_4,indigenous,m,42
2016,14850,0_4,indigenous,m,125
2016,14870,0_4,indigenous,m,67
2016,14900,0_4,indigenous,m,197
2016,14920,0_4,indigenous,m,56
2016,14950,0_4,indigenous,m,11
2016,15050,0_4,indigenous,m,271
2016,15240,0_4,indigenous,m,352
2016,15270,0_4,indigenous,m,116
2016,15300,0_4,indigenous,m,142
2016,15350,0_4,indigenous,m,3
2016,15520,0_4,indigenous,m,19
2016,15560,0_4,indigenous,m,16
2016,15650,0_4,indigenous,m,93
2016,15700,0_4,indigenous,m,76
2016,15750,0_4,indigenous,m,102
2016,15800,0_4,indigenous,m,31
2016,15850,0_4,indigenous,m,86
2016,15900,0_4,indigenous,m,321
2016,15950,0_4,indigenous,m,10
2016,15990,0_4,indigenous,m,67
2016,16100,0_4,indigenous,m,13
2016,16150,0_4,indigenous,m,198
2016,16200,0_4,indigenous,m,100
2016,16260,0_4,indigenous,m,60
2016,11500,0_4,indigenous,m,386
2016,11520,0_4,indigenous,m,21
2016,11300,0_4,indigenous,m,9
2016,11350,0_4,indigenous,m,15
2016,11400,0_4,indigenous,m,25
2016,11450,0_4,indigenous,m,119
2016,11570,0_4,indigenous,m,123
2016,11600,0_4,indigenous,m,12
2016,11650,0_4,indigenous,m,786
2016,11700,0_4,indigenous,m,33
2016,11720,0_4,indigenous,m,242
2016,11730,0_4,indigenous,m,191
2016,11750,0_4,indigenous,m,43
2016,11800,0_4,indigenous,m,193
2016,12000,0_4,indigenous,m,11
2016,12150,0_4,indigenous,m,70
2016,12350,0_4,indigenous,m,57
2016,12380,0_4,indigenous,m,78
2016,12700,0_4,indigenous,m,31
2016,12730,0_4,indigenous,m,20
2016,12750,0_4,indigenous,m,112
2016,12850,0_4,indigenous,m,91
2016,12870,0_4,indigenous,m,10
2016,12900,0_4,indigenous,m,54
2016,12930,0_4,indigenous,m,25
2016,12950,0_4,indigenous,m,40
2016,13010,0_4,indigenous,m,38
2016,13310,0_4,indigenous,m,70
2016,13340,0_4,indigenous,m,29
2016,13450,0_4,indigenous,m,94
2016,13510,0_4,indigenous,m,33
2016,13550,0_4,indigenous,m,137
2016,13660,0_4,indigenous,m,21
2016,13800,0_4,indigenous,m,161
2016,13850,0_4,indigenous,m,7
2016,16350,0_4,indigenous,m,522
2016,16380,0_4,indigenous,m,158
2016,16400,0_4,indigenous,m,212
2016,16490,0_4,indigenous,m,97
2016,16550,0_4,indigenous,m,102
2016,16610,0_4,indigenous,m,99
2016,16650,0_4,indigenous,m,34
2016,16700,0_4,indigenous,m,13
2016,16900,0_4,indigenous,m,156
2016,16950,0_4,indigenous,m,346
2016,17000,0_4,indigenous,m,83
2016,17040,0_4,indigenous,m,16
2016,17080,0_4,indigenous,m,39
2016,17420,0_4,indigenous,m,35
2016,17550,0_4,indigenous,m,193
2016,17620,0_4,indigenous,m,41
2016,17640,0_4,indigenous,m,15
2016,17650,0_4,indigenous,m,22
2016,17750,0_4,indigenous,m,236
2016,17850,0_4,indigenous,m,10
2016,17900,0_4,indigenous,m,103
2016,17950,0_4,indigenous,m,29
2016,18020,0_4,indigenous,m,43
2016,18050,0_4,indigenous,m,12
2016,18100,0_4,indigenous,m,9
2016,18200,0_4,indigenous,m,50
2016,18230,0_4,indigenous,m,491
2016,18250,0_4,indigenous,m,3
2016,18350,0_4,indigenous,m,46
2016,18400,0_4,indigenous,m,84
2016,18450,0_4,indigenous,m,299
2016,18500,0_4,indigenous,m,5
2016,18710,0_4,indigenous,m,29
2016,19399,0_4,indigenous,m,0
2016,20110,0_4,indigenous,m,4
2016,20260,0_4,indigenous,m,14
2016,20570,0_4,indigenous,m,94
2016,20660,0_4,indigenous,m,28
2016,20740,0_4,indigenous,m,21
2016,20830,0_4,indigenous,m,37
2016,20910,0_4,indigenous,m,5
2016,21010,0_4,indigenous,m,14
2016,21110,0_4,indigenous,m,15
2016,21180,0_4,indigenous,m,56
2016,21270,0_4,indigenous,m,3
2016,21370,0_4,indigenous,m,60
